,date,period,demand_mw,bid_price,cumulative_bid_volumn
252,2023-01-06,13,5804.716,204.67,5813.7
253,2023-01-06,14,5960.884,220.0,6046.999999999999
254,2023-01-06,15,6137.88,229.2,6157.200000000001
255,2023-01-06,16,6326.666,229.2,6327.200000000001
256,2023-01-06,17,6494.413,250.0,6543.999999999999
257,2023-01-06,18,6595.21,250.0,6596.200000000001
258,2023-01-06,19,6660.521,279.2,6666.9
259,2023-01-06,20,6700.509,298.87,6709.4
260,2023-01-06,21,6698.655,250.0,6707.6
261,2023-01-06,22,6678.994,250.0,6706.300000000001
262,2023-01-06,23,6647.291,250.0,6706.299999999999
263,2023-01-06,24,6651.629,250.0,6703.500000000001
264,2023-01-06,25,6611.308,250.0,6681.599999999999
265,2023-01-06,26,6644.348,250.0,6679.7
266,2023-01-06,27,6713.382,268.0,6714.3
267,2023-01-06,28,6803.011,300.0,6864.800000000001
268,2023-01-06,29,6814.496,300.0,6844.7
269,2023-01-06,30,6792.814,300.0,6847.799999999999
270,2023-01-06,31,6798.162,300.0,6853.999999999999
271,2023-01-06,32,6798.266,300.0,6853.399999999999
272,2023-01-06,33,6786.154,299.0,6789.3
273,2023-01-06,34,6773.449,298.67,6777.400000000001
274,2023-01-06,35,6811.455,300.0,6841.700000000001
275,2023-01-06,36,6814.635,300.0,6817.699999999999
276,2023-01-06,37,6811.887,300.0,6827.999999999999
277,2023-01-06,38,6800.854,300.0,6831.500000000001
278,2023-01-06,39,6801.788,350.57,6808.3
279,2023-01-06,40,6758.45,721.0,6768.600000000002
280,2023-01-06,41,6737.163,516.0,6742.2
281,2023-01-06,42,6705.504,302.0,6707.999999999999
282,2023-01-06,43,6598.361,300.0,6649.000000000002
283,2023-01-06,44,6436.751,250.0,6468.199999999998
284,2023-01-06,45,6268.467,250.0,6302.1
285,2023-01-06,46,6139.292,229.2,6149.699999999999
286,2023-01-06,47,6015.435,242.2,6024.800000000002
287,2023-01-06,48,5945.094,237.3,5962.100000000001
288,2023-01-07,1,5856.658,277.47,5858.099999999999
289,2023-01-07,2,5767.635,229.2,5769.599999999999
290,2023-01-07,3,5652.53,201.24,5652.899999999999
291,2023-01-07,4,5578.755,161.96,5579.199999999999
292,2023-01-07,5,5511.69,160.21,5518.5
293,2023-01-07,6,5459.217,159.2,5462.0
294,2023-01-07,7,5420.004,159.2,5442.0
295,2023-01-07,8,5384.274,155.78,5391.7
296,2023-01-07,9,5372.615,155.78,5390.6
297,2023-01-07,10,5377.451,155.78,5381.199999999999
298,2023-01-07,11,5410.814,159.2,5452.199999999999
299,2023-01-07,12,5480.151,160.21,5499.999999999999
300,2023-01-07,13,5558.359,159.2,5583.799999999999
301,2023-01-07,14,5621.97,160.21,5628.3
302,2023-01-07,15,5703.965,205.67,5709.899999999999
303,2023-01-07,16,5838.498,237.47,5847.0
304,2023-01-07,17,5999.232,243.22,6001.3
305,2023-01-07,18,6080.676,250.0,6161.499999999999
306,2023-01-07,19,6152.582,250.0,6203.900000000001
307,2023-01-07,20,6205.786,250.0,6249.0
308,2023-01-07,21,6235.094,250.0,6315.1
309,2023-01-07,22,6282.264,250.0,6345.000000000001
310,2023-01-07,23,6265.003,246.57,6265.8
311,2023-01-07,24,6227.266,229.2,6241.900000000001
312,2023-01-07,25,6155.603,189.26,6157.0
313,2023-01-07,26,6162.875,191.0,6165.099999999999
314,2023-01-07,28,6136.509,179.2,6142.900000000001
315,2023-01-07,29,6148.988,164.5,6150.9
316,2023-01-07,30,6190.244,198.87,6204.599999999999
